Samplename,Population
HG01607,A_POP
HG01608,A_POP
HG01610,A_POP
HG01612,A_POP
HG01613,A_POP
HG01615,A_POP
HG01617,A_POP
HG01618,A_POP
HG01619,A_POP
HG01620,A_POP
HG01623,A_POP
HG01624,A_POP
HG01625,A_POP
HG01626,A_POP
HG01628,A_POP
HG01630,A_POP
HG01631,A_POP
HG01632,A_POP
HG01668,A_POP
HG01669,A_POP
HG01670,A_POP
HG01672,A_POP
HG01673,A_POP
HG01675,A_POP
HG01676,A_POP
HG01678,A_POP
HG01679,A_POP
HG01680,A_POP
HG01682,A_POP
HG01684,A_POP
HG01685,A_POP
HG01686,A_POP
HG01694,A_POP
HG01695,A_POP
HG01697,A_POP
HG01699,A_POP
HG01700,A_POP
HG01702,A_POP
HG01704,A_POP
HG01705,A_POP
HG01707,A_POP
HG01708,A_POP
HG01709,A_POP
HG01710,A_POP
HG01746,A_POP
HG01747,A_POP
HG01756,A_POP
HG01757,A_POP
HG01761,A_POP
HG01762,A_POP
HG01765,A_POP
HG01766,A_POP
HG01767,A_POP
HG01768,A_POP
HG01770,A_POP
HG01771,A_POP
HG01773,A_POP
HG01775,A_POP
HG01776,A_POP
HG01777,A_POP
HG01779,A_POP
HG01781,A_POP
HG01783,A_POP
HG01784,A_POP
HG01785,A_POP
HG01786,A_POP
HG01789,A_POP
HG01790,A_POP
HG01791,A_POP
HG01892,A_POP
HG01893,A_POP
HG01917,A_POP
HG01918,A_POP
HG01920,A_POP
HG01921,A_POP
HG01923,A_POP
HG01924,A_POP
HG01926,A_POP
HG01927,A_POP
HG01932,A_POP
HG01933,A_POP
HG01935,A_POP
HG01936,A_POP
HG01938,A_POP
HG01939,A_POP
HG01941,A_POP
HG01942,A_POP
HG01944,A_POP
HG01945,A_POP
HG01947,A_POP
HG01948,A_POP
HG01950,A_POP
HG01951,A_POP
HG01953,A_POP
HG01954,A_POP
HG01961,A_POP
HG01965,A_POP
HG01967,A_POP
HG01968,A_POP
HG01970,A_POP
HG01971,A_POP
HG01973,A_POP
HG01974,A_POP
HG01976,A_POP
HG01977,A_POP
HG01979,A_POP
HG01980,A_POP
HG01982,A_POP
HG01991,A_POP
HG01992,A_POP
HG01997,A_POP
HG02002,A_POP
HG02003,A_POP
HG02006,A_POP
HG02008,A_POP
HG02089,A_POP
HG02090,A_POP
HG02102,A_POP
HG02104,A_POP
HG02105,A_POP
HG02146,A_POP
HG02147,A_POP
HG02150,A_POP
HG02215,A_POP
HG02219,A_POP
HG02220,A_POP
HG02221,A_POP
HG02223,A_POP
HG02224,A_POP
HG02230,A_POP
HG02231,A_POP
HG02232,A_POP
HG02233,A_POP
HG02235,A_POP
HG02236,A_POP
HG02238,A_POP
HG02239,A_POP
HG02252,A_POP
HG02253,A_POP
HG02259,A_POP
HG02260,A_POP
HG02262,A_POP
HG02265,A_POP
HG02266,A_POP
HG02271,A_POP
HG02272,A_POP
HG02274,A_POP
HG02275,A_POP
HG02277,A_POP
HG02278,A_POP
HG02285,A_POP
HG02286,A_POP
HG02291,A_POP
HG02292,A_POP
HG02298,A_POP
HG02299,A_POP
HG02301,A_POP
HG02304,A_POP
HG02312,A_POP
HG02345,A_POP
HG02348,A_POP
HG02425,A_POP
NA18486,A_POP
NA18488,A_POP
NA18489,A_POP
NA18498,A_POP
NA18499,A_POP
NA18501,A_POP
NA18502,A_POP
NA18504,A_POP
NA18505,A_POP
NA18507,A_POP
NA18508,A_POP
NA18510,A_POP
NA18511,A_POP
NA18516,A_POP
NA18517,A_POP
NA18519,A_POP
NA18520,A_POP
NA18522,A_POP
NA18523,A_POP
NA18525,A_POP
NA18526,A_POP
NA18528,A_POP
NA18530,A_POP
NA18531,A_POP
NA18532,A_POP
NA18533,A_POP
NA18534,A_POP
NA18535,A_POP
NA18536,A_POP
NA18537,A_POP
NA18538,A_POP
NA18539,A_POP
NA18541,A_POP
NA18542,A_POP
NA18543,A_POP
NA18544,A_POP
NA18545,A_POP
NA18546,A_POP
NA18547,A_POP
NA18548,A_POP
NA18549,A_POP
NA18550,A_POP
NA18552,A_POP
NA18553,A_POP
NA18555,A_POP
NA18557,A_POP
NA18558,A_POP
NA18559,A_POP
NA18560,A_POP
NA18561,A_POP
NA18562,A_POP
NA18563,A_POP
NA18564,A_POP
NA18565,A_POP
NA18566,A_POP
NA18567,A_POP
NA18570,A_POP
NA18571,A_POP
NA18572,A_POP
NA18573,A_POP
NA18574,A_POP
NA18577,A_POP
NA18579,A_POP
NA18582,A_POP
NA18591,A_POP
NA18592,A_POP
NA18593,A_POP
NA18595,A_POP
NA18596,A_POP
NA18597,A_POP
NA18599,A_POP
NA18602,A_POP
NA18603,A_POP
NA18605,A_POP
NA18606,A_POP
NA18608,A_POP
NA18609,A_POP
NA18610,A_POP
NA18611,A_POP
NA18612,A_POP
NA18613,A_POP
NA18614,A_POP
NA18615,A_POP
NA18616,A_POP
NA18617,A_POP
NA18618,A_POP
NA18619,A_POP
NA18620,A_POP
NA18621,A_POP
NA18622,A_POP
NA18623,A_POP
NA18624,A_POP
NA18625,A_POP
NA18626,A_POP
NA18627,A_POP
NA18628,A_POP
NA18629,A_POP
NA18630,A_POP
NA18631,A_POP
NA18632,A_POP
NA18633,A_POP
NA18634,A_POP
NA18635,A_POP
NA18636,A_POP
NA18637,A_POP
NA18638,A_POP
NA18639,A_POP
NA18640,A_POP
NA18641,A_POP
NA18642,A_POP
NA18643,A_POP
NA18644,A_POP
NA18645,A_POP
NA18646,A_POP
NA18647,A_POP
NA18648,A_POP
NA18740,A_POP
NA18745,A_POP
NA18747,A_POP
NA18748,A_POP
NA18749,A_POP
NA18757,A_POP
NA18853,A_POP
NA18856,A_POP
NA18858,A_POP
NA18861,A_POP
NA18864,A_POP
NA18865,A_POP
NA18867,A_POP
NA18868,A_POP
NA18870,A_POP
NA18871,A_POP
NA18873,A_POP
NA18874,A_POP
NA18876,A_POP
NA18877,A_POP
NA18878,A_POP
NA18879,A_POP
NA18881,A_POP
NA18907,A_POP
NA18908,A_POP
NA18909,A_POP
NA18910,A_POP
NA18912,A_POP
NA18915,A_POP
NA18916,A_POP
NA18917,A_POP
NA18923,A_POP
NA18924,A_POP
NA18933,A_POP
NA18934,A_POP
NA19092,A_POP
NA19093,A_POP
NA19095,A_POP
NA19096,A_POP
NA19098,A_POP
NA19099,A_POP
NA19102,A_POP
NA19107,A_POP
NA19108,A_POP
NA19113,A_POP
NA19114,A_POP
NA19116,A_POP
NA19117,A_POP
NA19118,A_POP
NA19119,A_POP
NA19121,A_POP
NA19129,A_POP
NA19130,A_POP
NA19131,A_POP
NA19137,A_POP
NA19138,A_POP
NA19141,A_POP
NA19143,A_POP
NA19144,A_POP
NA19146,A_POP
NA19147,A_POP
NA19149,A_POP
NA19152,A_POP
NA19153,A_POP
NA19159,A_POP
NA19160,A_POP
NA19171,A_POP
NA19172,A_POP
NA19175,A_POP
NA19184,A_POP
NA19185,A_POP
NA19189,A_POP
NA19190,A_POP
NA19197,A_POP
NA19198,A_POP
NA19200,A_POP
NA19201,A_POP
NA19204,A_POP
NA19206,A_POP
NA19207,A_POP
NA19209,A_POP
NA19210,A_POP
NA19213,A_POP
NA19214,A_POP
NA19222,A_POP
NA19223,A_POP
NA19225,A_POP
NA19235,A_POP
NA19236,A_POP
NA19238,A_POP
NA19239,A_POP
NA19247,A_POP
NA19248,A_POP
NA19256,A_POP
NA19257,A_POP
NA19648,A_POP
NA19649,A_POP
NA19651,A_POP
NA19652,A_POP
NA19654,A_POP
NA19655,A_POP
NA19657,A_POP
NA19658,A_POP
NA19661,A_POP
NA19663,A_POP
NA19664,A_POP
NA19669,A_POP
NA19670,A_POP
NA19676,A_POP
NA19678,A_POP
NA19679,A_POP
NA19681,A_POP
NA19682,A_POP
NA19684,A_POP
NA19716,A_POP
NA19717,A_POP
NA19719,A_POP
NA19720,A_POP
NA19722,A_POP
NA19723,A_POP
NA19725,A_POP
NA19726,A_POP
NA19728,A_POP
NA19729,A_POP
NA19731,A_POP
NA19732,A_POP
NA19734,A_POP
NA19735,A_POP
NA19740,A_POP
NA19741,A_POP
NA19746,A_POP
NA19747,A_POP
NA19749,A_POP
NA19750,A_POP
NA19752,A_POP
NA19755,A_POP
NA19756,A_POP
NA19758,A_POP
NA19759,A_POP
NA19761,A_POP
NA19762,A_POP
NA19764,A_POP
NA19770,A_POP
NA19771,A_POP
NA19773,A_POP
NA19774,A_POP
NA19776,A_POP
NA19777,A_POP
NA19779,A_POP
NA19780,A_POP
NA19782,A_POP
NA19783,A_POP
NA19785,A_POP
NA19786,A_POP
NA19788,A_POP
NA19789,A_POP
NA19792,A_POP
NA19794,A_POP
NA19795,A_POP
MXB_10544,A_POP
MXB_10610,A_POP
MXB_11339,A_POP
MXB_11619,A_POP
MXB_12529,A_POP
MXB_13075,A_POP
MXB_13175,A_POP
MXB_15210,A_POP
MXB_15727,A_POP
MXB_15887,A_POP
MXB_160,A_POP
MXB_1655,A_POP
MXB_19262,A_POP
MXB_19369,A_POP
MXB_20305,A_POP
MXB_20306,A_POP
MXB_22419,A_POP
MXB_22998,A_POP
MXB_23094,A_POP
MXB_23097,A_POP
MXB_24133,A_POP
MXB_24186,A_POP
MXB_24586,A_POP
MXB_2641,A_POP
MXB_28337,A_POP
MXB_28339,A_POP
MXB_28344,A_POP
MXB_28452,A_POP
MXB_28564,A_POP
MXB_29762,A_POP
MXB_30112,A_POP
MXB_32325,A_POP
MXB_33270,A_POP
MXB_35177,A_POP
MXB_35474,A_POP
MXB_35488,A_POP
MXB_3573,A_POP
MXB_36131,A_POP
MXB_37448,A_POP
MXB_39462,A_POP
MXB_3990,A_POP
MXB_40340,A_POP
MXB_40376,A_POP
MXB_40870,A_POP
MXB_42639,A_POP
MXB_42990,A_POP
MXB_42994,A_POP
MXB_5576,A_POP
MXB_9395,A_POP
MXB_9855,A_POP
